# The file is broken into the CPU section followed by the GPU section.
"# The first two columns of the CPU section must be ""cpu mhz"" then ""sys mb""."
"# The first column of the GPU section must be ""gpu"".  This triggers the start of the GPU section."
# Each subsequent column header in both sections is a dvar name.
"# In the CPU section, each dvar gets the value listed in its column for the row of the system settings that most closely match the current machine, without going over"
"# In the GPU section, each dvar gets the value listed in its column for the row of the first GPU string to match."
"# For GPU names, spaces are treated as wildcards that match any sequence of 0 or more non-numeric characters.  You can use * to match 0 or more of any character, or ? to match any single character."




cpu ghz,sys mb,ai_corpseCount,ragdoll_enable,fx_marks,r_lodScaleSkinned,r_lodBiasSkinned,r_lodScaleRigid,r_lodBiasRigid,r_drawWater,snd_khz,snd_enableEq,ragdoll_max_simulating,r_fastSkin,min_spec_ai,r_dcburning_culldist,r_arcadia_culldist,invasion_minspec,r_gulag_lessdrones,r_roadkill_less_sparks

0,128,8,0,0,1,0,1,0,0,22,1,8,1,1,1,1,1,1,1
5.5,128,16,1,1,1,0,1,0,1,22,1,8,1,0,0,0,0,0,0
8,128,16,1,1,1,0,1,0,1,22,1,16,0,0,0,0,0,0,0

0,1024,8,0,0,1,0,1,0,0,44,1,8,1,1,1,1,1,1,1
5.5,1024,16,1,1,1,0,1,0,1,44,1,8,1,0,0,0,0,0,0
8,1024,16,1,1,1,0,1,0,1,44,1,16,0,0,0,0,0,0,0



gpu,r_rendererPreference,r_imageQuality,sm_enable,sm_sunShadowScaleLocked,r_zfeather,cg_laserlight,r_glow_allowed,r_distortion,r_aaSamples,r_specular,r_dof_enable,r_altModelLightingUpdate,r_dlightlimit,r_ssao,disable_tank_shock_minspec

GeForce 62*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 66*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 68* XT,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 68* LE,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 71*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 72*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 73*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 75*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 83*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 93*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 94*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 95*,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce G 100,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce GT 120,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce GT 130,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 205,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce G 210,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 310,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 315,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce 420,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1
GeForce GT 520,Default,1,0,0,0,0,0,0,1,0,0,1,0,0,1

